9,0,7,0,1,1,6,0,4,0,1,1
1,0,8,0,1,1,11,0,13,0,1,1
12,0,10,0,1,1,3,0,5,0,1,1
2,0,9,0,1,1,4,0,7,0,1,1
13,0,8,0,1,1,11,0,6,0,1,1
5,0,1,0,1,1,2,0,3,0,1,1
10,0,9,0,1,1,12,0,8,0,1,1
4,0,11,0,1,1,5,0,6,0,1,1
7,0,1,0,1,1,3,0,13,0,1,1
9,0,2,0,1,1,12,0,10,0,1,1
4,0,8,0,1,1,3,0,11,0,1,1
2,0,6,0,1,1,13,0,1,0,1,1
12,0,5,0,1,1,7,0,10,0,1,1
9,0,11,0,1,1,4,0,8,0,1,1
13,0,4,0,1,1,10,0,1,0,1,1
7,0,6,0,1,1,5,0,2,0,1,1
3,0,9,0,1,1,12,0,8,0,1,1
10,0,11,0,1,1,13,0,1,0,1,1
7,0,8,0,1,1,2,0,6,0,1,1
5,0,9,0,1,1,12,0,3,0,1,1
1,0,12,0,1,1,4,0,13,0,1,1
2,0,7,0,1,1,11,0,10,0,1,1
5,0,3,0,1,1,6,0,8,0,1,1
9,0,1,0,1,1,4,0,12,0,1,1
13,0,5,0,1,1,7,0,10,0,1,1
11,0,2,0,1,1,6,0,3,0,1,1
8,0,12,0,1,1,4,0,1,0,1,1
7,0,5,0,1,1,10,0,13,0,1,1
2,0,9,0,1,1,11,0,3,0,1,1
6,0,12,0,1,1,4,0,8,0,1,1
13,0,9,0,1,1,1,0,7,0,1,1
10,0,5,0,1,1,3,0,11,0,1,1
4,0,2,0,1,1,8,0,6,0,1,1
13,0,1,0,1,1,7,0,9,0,1,1
12,0,11,0,1,1,5,0,10,0,1,1
6,0,10,0,1,1,8,0,2,0,1,1
